,DonorID,cell ID,stainingbyinsulin,treatment,knockdownbyqPCR_%,preincubation,Timefromtrasfection_days,Glucose_mM,CellSize_pF,TotalCapacitance_fF,NormalizedTotalCapacitance_fF/pF,FirstDepolarizationCapacitance_fF,NormalizedFirstDepolarizationCapacitance_fF/pF,LateDepolarizationCapacitance,NormalizedLateDepolarizationCapacitance,CalciumIntegralatFirstDepolarization_pC,CalciumIntegralNormalizedtoCellSize_pC/pF,CapacitanceNormalizedtoCalcium_fF/pC,PeakSodiumCurrentAmplitudeat-10mV_pA,NormalizedPeakSodiumCurrentAmplitude_pA/pF,SodiumChannelConductance_pS,NormalizedSodiumChannelConductance_pS/pF,HalfInactivationSodiumCurrent_mV,HalfInactivationCaCurrent_mV,EarlyPeakCalciumCurrentAmplitudeat-10mV_pA,NormalizedEarlyPeakCalciumCurrentAmplitude_pA/pF,EarlyCalciumChannelConductance_pS,NormalizedEarlyCalciumChannelConductance_pS/pF,LateCalciumChannelConductance_pS,NormalizedLateCalciumChannelConductance_pS/pF,ReversalPotentialbyramp_mV
340,R286,2018_1005_36,ins+,siGYG1,,YES,2.0,10.0,10.1,878.2,86.95,142.01,14.06,736.19,72.89,-3.93,-0.39,36.13,-40.4,-4.0,730.7,72.35,,,-31.7,-3.14,510.3,50.52,,,
341,R286,2018_1005_37,ins+,siGYG1,,YES,2.0,10.0,7.69,114.35,14.87,33.22,4.32,81.13,10.55,-0.82,-0.11,40.51,-23.1,-3.0,525.3,68.31,,,-14.7,-1.91,553.1,71.92,,,
342,R286,2018_1005_38,ins+,siGYG1,,YES,2.0,10.0,5.45,162.14,29.75,43.98,8.07,118.16,21.68,-9.04,-1.66,4.87,,,,,,,,,,,,,
343,R286,2018_1005_39,ins+,siGYG1,,YES,2.0,10.0,7.4,168.94,22.83,21.09,2.85,147.85,19.98,,,,-36.1,-4.88,631.3,85.31,,,-16.9,-2.28,257.7,34.82,,,
347,R286,2018_1005_44,ins+,siTspan1,,YES,2.0,10.0,5.29,18.3,3.46,13.7,2.59,4.6,0.87,-4.2,-0.79,3.26,-41.6,-7.86,1333.0,251.98,,,-26.0,-4.91,871.9,164.82,,,
348,R286,2018_1005_45,ins+,siTspan1,,YES,2.0,10.0,6.69,76.07,11.37,13.51,2.02,62.55,9.35,-1.93,-0.29,7.0,-21.1,-3.15,500.3,74.78,,,-9.62,-1.44,379.0,56.65,,,
349,R286,2018_1005_46,ins+,siTspan1,,YES,2.0,10.0,5.57,5.96,1.07,1.78,0.32,4.18,0.75,-0.66,-0.12,2.7,-7.67,-1.38,263.7,47.34,,,-5.52,-0.99,148.0,26.57,,,
350,R286,2018_1005_47,ins+,siTspan1,,YES,2.0,10.0,8.33,14.24,1.71,5.0,0.6,9.25,1.11,-0.15,-0.02,33.33,-9.42,-1.13,150.2,18.03,,,-6.77,-0.81,78.0,9.36,,,
357,R286,2018_1005_54,ins+,GFP,0,YES,2.0,10.0,7.79,128.69,16.52,8.8,1.13,119.89,15.39,-4.85,-0.62,1.81,-68.3,-8.77,1352.0,173.56,,,-27.3,-3.5,655.5,84.15,,,
358,R286,2018_1005_55,ins+,GFP,,YES,2.0,10.0,7.65,221.85,29.0,58.6,7.66,163.25,21.34,-4.05,-0.53,14.47,-38.1,-4.98,954.72,124.8,,,-26.5,-3.46,654.3,85.53,,,
359,R286,2018_1005_56,ins+,GFP,,YES,2.0,10.0,5.15,140.96,27.37,19.98,3.88,120.97,23.49,-1.2,-0.23,16.65,-52.8,-10.25,1024.1,198.85,,,-5.28,-1.03,339.8,65.98,,,
360,R286,2018_1005_57,ins+,GFP,,YES,2.0,10.0,6.36,139.98,22.01,47.45,7.46,92.54,14.55,-1.67,-0.26,28.41,-17.8,-2.8,351.215,55.22,,,-15.9,-2.5,355.4,55.88,,,
361,R286,2018_1005_58,ins+,GFP,,YES,2.0,10.0,7.38,189.15,25.63,50.55,6.85,138.6,18.78,-2.2,-0.3,22.98,-31.5,-4.27,780.4,105.75,,,-18.0,-2.44,483.3,65.49,,,
