Names	total	elements
		FLJ37453
		OPTN
		TMEM70
		ATRAID
		CHST9
		AP1G2
		PDX1
		RPS3A
		MRPS5
		BAZ2A
		HM13
		ST8SIA3
		CD63
		DNAJC2
		TOM1L1
		TRA2A
		SLC25A6
		PPP4R3A
		GSPT1
		DDX21
		CLCN3
		IDH3G
		MICU2
		HIP1R
		SLC39A3
		ABHD10
		RNPS1
		ROBO2
		RNH1
		ITCH
		RPP25
		ZFHX3
		TMEM179B
		RRAGD
		TIMP2
		PGLS
		PFDN4
		PAF1
		MOAP1
		LIN7C
		GLB1
		PDIA4
		GEM
		ATP2A2
		RASSF6
		TMEM208
		DAAM1
		ALDH9A1
		NCLN
		BRWD1
		PNPLA2
		SAFB
		RAB7A
		SLC39A6
		DPH1
Sodium	178	VAMP8
		HERPUD2
		ESYT1
		MESDC2
		PACSIN2
		CHD9
		FGFR1
		ING3
		C4orf3
		SERINC3
		AC004453.8
		RC3H1
		BLOC1S2
		RAB3GAP1
		LSM12P1
		PUM3
		PAPSS2
		RPL29
		GRPEL1
		FUBP3
		CYP2U1
		ISL1
		CMIP
		RPS3AP6
		TIAL1
		TRUB2
		SLC25A5
		RNF4
		ARFGEF3
		KIF5B
		TWF1
		TMEM35B
		WI2-1896O14.1
		GNG10
		RPS24P8
		ZNF395
		IGFBP7
		LSM12
		NEAT1
		SUN1
		MYL6
		PDIA3P1
		PERP
		TUBA1B
		RPL4
		ATP1A1
		MEA1
		ARIH2
		SRP68
		CDC37L1
		VBP1
		TMED7
		CNRIP1
		AKR7A2
		GPATCH4
		GNS
		FDFT1
		ASCC2
		CYTH2
		PARP6
		C11orf49
		NKAP
		PLEKHA1
		NACA
		PEF1
		RNF168
		RPL39
		RBM3
		CYYR1
		TOM1
		JAGN1
		MDH2
		APEX1
		RPL15P2
		OCIAD1
		SRP19
		ZNF292
		ALAS1
		COASY
		POLD4
		MKKS
		CCDC47
		HERC1
		COPB2
		CCDC107
		RXRG
		PAM
		PSMD9
		EEF2
		CBFB
		CFAP36
		NT5C3A
		SRP14
		RAD23A
		MT1E
		RPS6
		BLMH
		IGF2
		NPEPPS
		NARF
		PPP1R14B
		ANKH
		EIF5
		UBL3
		NDUFAF2
		RPL13P12
		CLDN3
		SNHG5
		RREB1
		CMC2
		SNX9
		MBNL1
		SRPK2
		GLT8D1
		CLU
		TROVE2
		C15orf57
		NGLY1
		MFN1
		SF3B1
		RPL3
		ASMTL
		MSI2
		WBP2
		SLC43A2
		SLC25A33
		PPP4C
		RAB5C
		TM9SF2
		WTAP
		JMJD1C
		NSA2
		GABRB3
		TIPRL
		MED31
