	tSNE1	tSNE2
1001200606_D6	-26.054039	17.762476
1001200606_D7	-16.971687	-45.851257
1001200606_D8	-17.355326	-43.59129
1001200606_D9	9.833284	-52.005028
1001200606_E10	-4.799955	-45.570534
1001200606_E11	4.150611	-55.798897
1001200606_E3	-22.79168	-0.3122828
1001200606_E4	-13.551501	16.947855
1001200606_E6	-7.8095536	-53.940285
1001200606_E7	-16.191265	-45.111595
1001200606_E8	-2.8470123	-62.26343
1001200606_F10	-5.2354436	26.768377
1001200606_F11	-5.6351867	-61.746033
1001200606_F12	-17.517464	-43.58687
1001200606_F3	1.9699185	-19.52206
1001200606_F5	4.650204	14.304957
1001200606_F6	-9.665748	-62.359436
1001200606_F8	-8.776709	-60.506756
1001200606_F9	-13.250997	-60.83189
1001200606_G10	-16.456623	-41.00062
1001200606_G11	-8.8617	-62.47382
1001200606_G2	-12.963456	15.891838
1001200606_G3	-6.8916755	-53.206608
1001200606_G4	-11.393718	34.99683
1001200606_G5	-22.205376	12.833053
1001200606_G6	-11.335567	-47.973984
1001200606_G7	-14.92278	-57.477573
1001200606_G8	-17.786524	-50.71581
1001200606_H2	-9.278041	-51.641415
1001200606_H3	-24.599127	11.583327
1001200606_H4	-21.07216	3.4309072
1001200606_H5	-14.329932	35.18041
1001200606_H6	33.354877	15.785509
1001200606_H8	19.98555	22.12545
1001200606_H9	9.194258	-56.070583
1001200607_A10	-18.782791	6.5486054
1001200607_A11	-24.636858	9.004278
1001200607_A12	-13.195463	-45.378204
1001200607_A2	-14.439542	10.045557
1001200607_A4	-5.2074113	14.109239
1001200607_A6	-3.5448163	-49.32204
1001200607_A7	-25.116665	6.0654488
1001200607_A8	-22.321299	29.646656
1001200607_B1	-5.248663	15.174435
1001200607_B12	-8.905088	-45.668697
1001200607_B2	-7.889937	17.548166
1001200607_B3	-13.66528	32.95376
1001200607_B4	-7.267063	23.802124
1001200607_B5	-17.29364	-51.46058
1001200607_B6	6.967158	-55.094505
1001200607_B7	27.62682	9.6009445
1001200607_B8	1.6974676	32.221855
1001200607_B9	-28.883913	8.752019
1001200607_C1	0.3402602	17.559301
1001200607_C10	-20.594181	0.32354474
1001200607_C11	-14.767882	-38.675182
1001200607_C2	-6.804403	21.524672
1001200607_C3	4.579737	13.567421
1001200607_C5	-6.288671	-42.884327
1001200607_C6	3.4776597	18.056795
1001200607_C8	3.2798617	11.264719
1001200607_C9	-11.60515	21.781822
1001200607_D1	-19.14106	18.848162
1001200607_D10	-23.127983	12.519513
1001200607_D11	-14.265706	-36.98995
1001200607_D12	-20.292643	11.663121
1001200607_D2	-4.351901	25.195335
1001200607_D3	-14.597296	4.4442134
1001200607_D4	-22.734894	-0.9602579
1001200607_D5	7.9764533	10.60663
1001200607_D6	0.2899682	-55.452366
1001200607_D7	15.681387	18.541616
1001200607_D8	18.692448	29.547754
1001200607_E10	-11.857449	-0.16797245
1001200607_E12	-19.727776	5.003828
1001200607_E2	-4.8155823	10.8348675
1001200607_E3	-12.968067	27.258114
