	tSNE1	tSNE2
1001200606_F11	-34.143944	37.47848
1001200606_F12	-25.72036	46.24741
1001200606_F3	-0.7243779	24.35982
1001200606_F5	15.29211	-11.17158
1001200606_F8	-32.29972	45.2638
1001200606_F9	-33.523743	43.127968
1001200606_G11	-34.242435	32.273277
1001200606_G2	-1.0183079	-7.429572
1001200606_G3	-27.321108	34.461918
1001200606_G4	0.7993315	-3.1734245
1001200606_G5	-9.082731	-1.7758374
1001200606_G7	-35.205154	43.88924
1001200606_G8	-30.30798	45.558556
1001200606_H2	-24.154171	36.215588
1001200606_H3	-12.852147	2.5867589
1001200606_H4	-17.39886	-3.5294266
1001200606_H5	3.7788782	-0.63829404
1001200606_H8	27.238188	-27.760468
1001200606_H9	-47.610107	30.679026
1001200607_A10	-13.380009	-6.48664
1001200607_A11	-12.769483	-0.0072059194
1001200607_A12	-23.176628	49.191856
1001200607_A2	-8.155279	-3.774794
1001200607_A4	-6.391364	-6.6696644
1001200607_A6	-28.982687	33.857456
1001200607_A7	-8.806687	1.7304664
1001200607_A8	-3.7270772	5.5976567
1001200607_B1	-2.0681446	-10.95974
1001200607_B12	-24.359236	38.51927
1001200607_B2	1.971529	-8.202875
1001200607_B3	0.36336228	-2.0560095
1001200607_B4	2.3841262	-11.820109
1001200607_B5	-27.595928	44.33005
1001200607_B6	-47.914764	31.64457
1001200607_B7	31.776787	-18.136292
1001200607_B8	11.67539	-23.49662
1001200607_B9	-15.383276	2.2990892
1001200607_C1	19.366913	-11.12837
1001200607_C10	-20.047106	-5.312395
1001200607_C11	-20.676388	36.545094
1001200607_C2	0.6708087	-10.99785
1001200607_C3	15.347169	-11.85663
1001200607_C5	-35.124817	34.847065
1001200607_C6	15.95501	-14.836282
1001200607_C8	22.430399	-6.101167
1001200607_C9	-3.491534	-5.7460256
1001200607_D1	-2.892749	-7.155646
1001200607_D10	-9.681793	-2.4982398
1001200607_D11	-20.939064	34.03842
1001200607_D12	-16.61533	-5.4784307
1001200607_D2	2.7641501	-15.97627
1001200607_D3	-11.448963	-6.522046
1001200607_D5	25.075373	-5.008785
1001200607_D6	-38.383053	35.84501
1001200607_D7	27.646235	-16.727835
1001200607_D8	26.86756	-29.9554
1001200607_E10	-19.30074	-9.57156
1001200607_E12	-12.023101	-4.74002
1001200607_E2	-10.957174	-10.976349
1001200607_E3	3.3823602	-12.897625
1001200607_E5	-23.320873	48.83184
1001200607_E7	-16.11853	-11.229605
1001200607_E8	-34.08637	46.13061
1001200607_F1	-0.2859838	-14.726142
1001200607_F10	-26.363995	-6.9731803
1001200607_F11	-22.030785	35.809715
1001200607_F2	-24.051247	-6.990474
1001200607_F3	1.7779188	0.21321183
1001200607_F5	15.7216	-14.854969
1001200607_F6	-29.448946	40.515026
1001200607_F7	14.707733	-8.250374
1001200607_F8	20.285433	-30.254288
1001200607_G1	-1.703203	-15.181279
1001200607_G2	-18.028032	-8.564798
1001200607_G3	15.5742855	-9.291023
1001200607_G5	-36.995937	35.09971
1001200607_G7	-14.767448	-3.1961317
1001200607_H10	1.916615	5.2082734
1001200607_H11	-24.808798	45.379498
1001200607_H2	-1.7355924	1.2366077
1001200607_H3	19.918268	-13.373928
1001200607_H5	-28.946718	40.2398
1001200607_H6	16.917645	-6.486869
1001200608_A1	-16.507685	-6.8658986
1001200608_A10	1.8399078	6.4749794
1001200608_A11	-0.48401737	-4.1281075
1001200608_A2	-11.12883	-0.26744038
1001200608_A3	-9.831679	0.0134286
1001200608_A4	-27.271847	-8.256563
1001200608_A5	-23.528189	39.74944
1001200608_A9	-18.49329	-6.7673426
1001200608_B10	-1.1901659	0.5347357
1001200608_B2	-25.748663	-7.426427
1001200608_B4	-9.694367	-1.7520361
1001200608_B5	-33.55633	34.25643
1001200608_B6	-28.470913	35.396336
1001200608_B8	-10.751931	-5.41068
1001200608_B9	-0.11699139	-2.6131542
1001200608_C1	-22.390219	-2.8484821
1001200608_C11	-3.092846	-9.895716
1001200608_C2	-19.889555	-6.369857
1001200608_C3	-14.285074	2.8356762
1001200608_C5	-35.167377	34.96661
1001200608_C8	-22.295498	-3.5755897
1001200608_C9	-28.56685	-6.4174657
1001200608_D1	-1.5679314	-3.6520565
1001200608_D10	3.541802	-10.983312
1001200608_D11	-22.303566	-4.8902197
1001200608_D2	-9.232673	4.158352
1001200608_D3	14.884584	-4.8106956
1001200608_D4	-25.030651	-9.024383
1001200608_D5	-33.42198	42.540398
1001200608_D6	-37.413795	35.584553
1001200608_D8	13.440309	-1.0561634
1001200608_D9	-11.483725	-9.162612
1001200608_E1	-4.035492	-7.811039
1001200608_E10	22.1957	-8.283468
1001200608_E11	-46.952484	28.754555
1001200608_E6	-29.365343	36.694527
1001200608_E9	-11.759816	-2.1780224
1001200608_F10	-21.392584	-6.025334
1001200608_F11	20.043413	-7.9999905
1001200608_F2	-11.451162	-0.75016075
1001200608_F3	-19.948044	-6.9914207
1001200608_F4	-36.66658	36.464603
1001200608_F5	-34.81462	36.23814
1001200608_F6	-33.803154	46.403114
1001200608_F9	20.43342	-8.129455
1001200608_G10	-21.316362	-4.8273997
1001200608_G4	-24.205296	37.478127
1001200608_G5	-24.641253	37.418285
1001200608_G6	-28.35315	36.87177
1001200608_G8	-3.0716367	-12.67128
1001200608_G9	6.480334	-8.816639
