	tSNE1	tSNE2
1001200608_F9	0.3617382	-5.1604567
1001200608_G10	-11.695561	38.58302
1001200608_G8	3.4134474	6.3268743
1001200608_G9	-22.460363	0.40782392
1001200608_H10	-25.281456	4.104456
1001200608_H2	-16.357286	20.77393
1001200608_H3	-18.141586	42.7759
1001200608_H4	28.514542	-6.645954
1001200608_H8	-6.823973	30.059393
1001200608_H9	-11.837363	41.634594
1001200609_A1	-13.399067	18.40143
1001200609_A11	-1.4415972	19.182262
1001200609_A4	-5.960224	-8.873114
1001200609_A5	24.66795	-10.981674
1001200609_A6	15.248152	-10.133341
1001200609_A7	-20.1546	42.35288
1001200609_C1	-9.339505	26.86126
1001200609_D2	10.24543	-19.028862
1001200609_D3	-23.854847	9.708391
1001200609_D5	-5.3151865	-17.895842
1001200609_E11	-2.9145067	24.501755
1001200609_E3	-1.3974537	-7.838754
1001200609_E4	-0.24287926	12.30144
1001200609_E6	-9.940583	-2.5463824
1001200609_E7	23.207676	-33.305992
1001200609_F5	5.0534105	-6.905328
1001200609_G4	-15.137303	-8.232594
1001200609_G6	0.5669973	20.94163
1001200609_H5	25.603731	-31.77784
1001200609_H6	-14.228228	10.855887
1001200610_A10	-21.156162	39.28467
1001200610_A12	-19.370958	44.23099
1001200610_A4	-24.195353	38.281292
1001200610_A5	-13.796284	20.430119
1001200610_A6	-16.925743	11.870886
1001200610_B10	3.5349252	-21.988087
1001200610_B11	-23.918446	39.34422
1001200610_B12	-18.76628	43.422527
1001200610_B5	-4.2372236	23.227562
1001200610_B8	-9.97356	40.55157
1001200610_C10	-20.682518	37.55944
1001200610_C11	-21.501642	37.890705
1001200610_C3	-12.577464	29.383152
1001200610_C4	-11.984443	23.420212
1001200610_C5	-22.721098	3.2620003
1001200610_C8	-26.183893	30.203785
1001200610_D10	8.871443	-15.959457
1001200610_D12	3.1011372	-13.349727
1001200610_D5	2.5373034	3.0350244
1001200610_D6	-3.5635366	16.359228
1001200610_D8	6.034723	-22.538124
1001200610_E10	-18.83179	42.38554
1001200610_E11	-20.391043	41.27696
1001200610_E5	-5.1079907	2.4118273
1001200610_E6	-12.650294	5.3036513
1001200610_E7	-18.366314	45.65044
1001200610_E8	9.281172	-22.510178
1001200610_F10	-17.002247	17.378637
1001200610_F12	-17.29439	44.55935
1001200610_F5	0.07170282	21.804045
1001200610_F6	-6.750603	24.553679
1001200610_F7	-6.95273	-5.21647
1001200610_F8	-3.3291166	-5.340804
1001200610_G10	-7.9870954	3.6059637
1001200610_G11	-10.8309	14.416382
1001200610_G3	-18.318743	28.470755
1001200610_G4	-14.934359	32.859886
1001200610_G5	3.1212094	0.43125442
1001200610_G7	-13.969837	32.742466
1001200610_G8	-23.342262	7.576553
1001200610_G9	19.529167	-25.229006
1001200610_H10	-16.919191	8.657388
1001200610_H3	-18.243164	39.355797
1001200610_H4	-14.261018	29.449833
1001200610_H7	2.1096146	-21.391966
1001200610_H8	-18.463814	-3.5555265
1001200611_A10	11.201168	-9.086354
1001200611_A11	-14.056153	-2.728088
1001200611_A12	-1.8058761	-10.254581
1001200611_A2	11.311627	-16.323076
1001200611_A3	8.919181	-20.314716
1001200611_A7	17.016542	-30.297312
1001200611_A8	8.017588	2.18325
1001200611_A9	-13.682202	5.3642282
1001200611_B10	-11.010024	-6.7694535
1001200611_B11	-18.496315	-0.90962976
1001200611_B12	12.761058	-17.574675
1001200611_B3	29.096361	-19.71179
1001200611_B4	24.904484	-14.325436
1001200611_B5	14.448605	-31.562458
1001200611_B6	14.079931	-8.677186
1001200611_B8	-16.553186	37.395237
1001200611_C10	16.137892	-8.022272
1001200611_C11	-18.523521	4.3613796
1001200611_C12	-4.7983365	-4.633864
1001200611_C2	-16.812872	43.56149
1001200611_C5	25.0104	-27.676575
1001200611_C6	-19.328121	33.53592
1001200611_D11	-21.224222	-3.663191
1001200611_D12	22.095678	-22.869358
1001200611_D4	20.514124	-30.20649
1001200611_E10	-20.369303	0.884371
1001200611_E11	19.480072	-27.687914
1001200611_E2	-18.611984	44.499084
1001200611_E5	11.454282	-21.802202
1001200611_E6	20.346098	-25.951355
1001200611_E9	-20.107004	-3.0913966
1001200611_F1	-17.611273	43.997242
1001200611_F10	-13.331001	-2.094666
1001200611_F11	-14.590884	-4.176352
1001200611_F12	-14.111674	8.005328
1001200611_F2	5.3449235	-24.241724
1001200611_F5	-3.0416234	-19.033047
1001200611_F6	24.341942	-15.601479
1001200611_F9	5.0267305	-22.77879
1001200611_G1	15.033725	-22.07544
1001200611_G10	14.123026	-26.398375
1001200611_G11	-17.16455	0.21539317
1001200611_G2	-26.706028	33.03595
1001200611_G6	31.482515	-20.931524
1001200611_G9	11.206934	-9.332531
1001200611_H10	7.264751	-21.341448
1001200611_H11	11.770186	-6.761779
1001200611_H5	-2.2250645	-19.116806
1001200611_H6	2.2709458	-23.599506
1001200611_H8	-10.450923	19.339384
1001200611_H9	-21.002298	6.7749515
1001200612_A10	7.4718027	-17.315367
1001200612_A3	-18.65825	-5.55689
1001200612_A4	23.7915	-26.29856
1001200612_A7	21.508636	-18.361837
1001200612_B1	11.340411	-20.523434
1001200612_B10	-15.029575	26.527287
1001200612_B3	30.487823	-24.476383
1001200612_B4	27.739618	-20.395403
1001200612_B6	26.070951	-28.811382
1001200612_B7	14.827444	-16.376904
1001200612_B9	-13.848315	23.350721
1001200612_C1	28.373549	-31.145182
1001200612_C10	-22.342564	39.811996
1001200612_C2	30.78293	-25.762302
1001200612_C3	19.740808	-23.380655
1001200612_C4	20.962708	-31.81713
1001200612_C5	16.595516	-32.413586
1001200612_C6	33.523304	-20.793598
1001200612_C7	14.092791	-26.45395
1001200612_D1	22.304764	-29.438854
1001200612_D10	1.9099432	-5.8130765
1001200612_D2	16.209274	-32.92336
1001200612_D3	-3.909854	-17.513569
1001200612_D4	17.306175	-30.878906
1001200612_D5	11.621228	-14.662671
1001200612_D6	7.1134977	-9.848767
1001200612_D7	14.600707	-23.996292
1001200612_E5	-0.40180853	-24.195143
1001200612_E6	26.966911	-20.400717
1001200612_E7	21.998316	-25.800936
1001200612_F1	19.513342	-20.287605
1001200612_F2	23.052334	-30.38241
1001200612_F3	27.461552	-29.23521
1001200612_F4	18.911201	-32.03076
1001200612_F5	-12.996227	-4.2433276
1001200612_F6	31.3107	-18.763697
1001200612_F7	9.587304	-22.196743
1001200612_F9	-10.634838	34.425297
1001200612_G1	20.626842	-32.128613
